temperature,qid,prompt1,prompt2,similarity
0.1,Q1,original,step_by_step,0.8664043
0.1,Q1,original,brief,0.87803626
0.1,Q1,original,expert,0.8562021
0.1,Q1,original,detailed,0.8885983
0.1,Q1,original,noisy,0.93611014
0.1,Q1,original,original,0.89963907
0.1,Q1,original,step_by_step,0.8823445
0.1,Q1,original,brief,0.8224963
0.1,Q1,original,expert,0.85769576
0.1,Q1,original,detailed,0.9139126
0.1,Q1,original,noisy,0.9203148
0.1,Q1,original,original,0.90310794
0.1,Q1,original,step_by_step,0.9006752
0.1,Q1,original,brief,0.8252335
0.1,Q1,original,expert,0.8890997
0.1,Q1,original,detailed,0.8618882
0.1,Q1,original,noisy,0.84151834
0.1,Q1,original,original,0.897396
0.1,Q1,original,step_by_step,0.8584323
0.1,Q1,original,brief,0.81545436
0.1,Q1,original,expert,0.92138255
0.1,Q1,original,detailed,0.8738887
0.1,Q1,original,noisy,0.8859197
0.1,Q1,step_by_step,brief,0.84696937
0.1,Q1,step_by_step,expert,0.8385865
0.1,Q1,step_by_step,detailed,0.8987143
0.1,Q1,step_by_step,noisy,0.880945
0.1,Q1,step_by_step,original,0.84945786
0.1,Q1,step_by_step,step_by_step,0.8994427
0.1,Q1,step_by_step,brief,0.80555797
0.1,Q1,step_by_step,expert,0.8281008
0.1,Q1,step_by_step,detailed,0.88489103
0.1,Q1,step_by_step,noisy,0.8874868
0.1,Q1,step_by_step,original,0.8178306
0.1,Q1,step_by_step,step_by_step,0.824615
0.1,Q1,step_by_step,brief,0.7885407
0.1,Q1,step_by_step,expert,0.83673596
0.1,Q1,step_by_step,detailed,0.81901157
0.1,Q1,step_by_step,noisy,0.82123196
0.1,Q1,step_by_step,original,0.88405675
0.1,Q1,step_by_step,step_by_step,0.8731015
0.1,Q1,step_by_step,brief,0.8135632
0.1,Q1,step_by_step,expert,0.8616507
0.1,Q1,step_by_step,detailed,0.880635
0.1,Q1,step_by_step,noisy,0.8217641
0.1,Q1,brief,expert,0.8892668
0.1,Q1,brief,detailed,0.940614
0.1,Q1,brief,noisy,0.8736867
0.1,Q1,brief,original,0.8695681
0.1,Q1,brief,step_by_step,0.90239805
0.1,Q1,brief,brief,0.8778987
0.1,Q1,brief,expert,0.8268863
0.1,Q1,brief,detailed,0.9166889
0.1,Q1,brief,noisy,0.87653506
0.1,Q1,brief,original,0.8098018
0.1,Q1,brief,step_by_step,0.8189519
0.1,Q1,brief,brief,0.8996624
0.1,Q1,brief,expert,0.8115245
0.1,Q1,brief,detailed,0.7765073
0.1,Q1,brief,noisy,0.75611615
0.1,Q1,brief,original,0.897616
0.1,Q1,brief,step_by_step,0.88215864
0.1,Q1,brief,brief,0.89077365
0.1,Q1,brief,expert,0.8896403
0.1,Q1,brief,detailed,0.9278544
0.1,Q1,brief,noisy,0.8690191
0.1,Q1,expert,detailed,0.90879685
0.1,Q1,expert,noisy,0.88904405
0.1,Q1,expert,original,0.8460976
0.1,Q1,expert,step_by_step,0.87961435
0.1,Q1,expert,brief,0.8144077
0.1,Q1,expert,expert,0.8086195
0.1,Q1,expert,detailed,0.8870156
0.1,Q1,expert,noisy,0.8753321
0.1,Q1,expert,original,0.8021846
0.1,Q1,expert,step_by_step,0.813024
0.1,Q1,expert,brief,0.80408597
0.1,Q1,expert,expert,0.80594116
0.1,Q1,expert,detailed,0.789365
0.1,Q1,expert,noisy,0.75160325
0.1,Q1,expert,original,0.8731507
0.1,Q1,expert,step_by_step,0.9036402
0.1,Q1,expert,brief,0.7788094
0.1,Q1,expert,expert,0.86444664
0.1,Q1,expert,detailed,0.9212451
0.1,Q1,expert,noisy,0.85353
0.1,Q1,detailed,noisy,0.9144697
0.1,Q1,detailed,original,0.8855717
0.1,Q1,detailed,step_by_step,0.9179326
0.1,Q1,detailed,brief,0.8495934
0.1,Q1,detailed,expert,0.8425356
0.1,Q1,detailed,detailed,0.9449257
0.1,Q1,detailed,noisy,0.92345417
