model,temperature,qid,avg_similarity,std_similarity,min_similarity,stability_score,contradiction_rate,final_stability_score
meta-llama/llama-3.2-1b-instruct,0.1,Q4,0.9965008,0.004948658,0.98950243,0.9915521,0.0,0.7950586673
meta-llama/llama-3.2-1b-instruct,1.0,Q4,0.9965008,0.004948658,0.98950243,0.9915521,0.0,0.7950586673
meta-llama/llama-3.2-1b-instruct,1.5,Q4,0.9965008,0.004948658,0.98950243,0.9915521,0.0,0.7950586673
meta-llama/llama-3.2-1b-instruct,2.0,Q4,0.9965008,0.004948658,0.98950243,0.9915521,0.0,0.7950586673
meta-llama/llama-3.2-1b-instruct,0.5,Q4,0.9965008,0.004948658,0.98950243,0.9915521,0.0,0.7950586673
meta-llama/llama-3.2-1b-instruct,1.5,Q3,0.93025035,0.025166001,0.87156403,0.9050844,0.0,0.7286881158499999
meta-llama/llama-3.2-1b-instruct,2.0,Q3,0.92709076,0.030040307,0.87156403,0.89705044,0.0,0.72606121595
meta-llama/llama-3.2-1b-instruct,1.5,Q8,0.92604285,0.03280654,0.8656244,0.89323634,0.0,0.7238296089999999
google/gemma-2-27b-it,0.5,Q3,0.91759914,0.02819771,0.8858002,0.88940144,0.0,0.7234898675000001
google/gemma-2-27b-it,1.0,Q3,0.9142573,0.018970137,0.8868327,0.89528716,0.0,0.7230753994500001
meta-llama/llama-3.2-1b-instruct,1.0,Q8,0.9256293,0.038606204,0.8609806,0.8870231,0.0,0.7217827694
meta-llama/llama-3.2-1b-instruct,0.5,Q8,0.9210661,0.034712493,0.87012625,0.8863536,0.0,0.72145803605
meta-llama/llama-3.2-1b-instruct,0.5,Q3,0.9169576,0.026520481,0.8747697,0.8904371,0.0,0.7211504278499999
meta-llama/llama-3.2-1b-instruct,2.0,Q8,0.91755074,0.031401496,0.8694075,0.8861492,0.0,0.7197017196
meta-llama/llama-3.2-1b-instruct,0.1,Q3,0.9226622,0.030833447,0.8476857,0.8918288,0.0,0.71850944295
meta-llama/llama-3.1-8b-instruct,0.5,Q8,0.91673094,0.031086393,0.86429954,0.88564456,0.0,0.71823551305
meta-llama/llama-3.1-8b-instruct,0.1,Q9,0.911773,0.024508249,0.862805,0.8872648,0.0,0.7159485626500001
google/gemma-2-27b-it,0.1,Q3,0.9122697,0.03091049,0.86192304,0.8813592,0.0,0.7151098545
meta-llama/llama-3.2-1b-instruct,0.1,Q6,0.91378087,0.030372394,0.8627132,0.8834085,0.0666666666666666,0.7129219695666666
meta-llama/llama-3.2-1b-instruct,0.1,Q8,0.9101766,0.041651443,0.8580488,0.86852515,0.0,0.71146800355
meta-llama/llama-3.3-70b-instruct,0.1,Q3,0.90462947,0.032561332,0.85722804,0.87206817,0.0,0.7093390902
meta-llama/llama-3.2-1b-instruct,1.0,Q9,0.9051465,0.029734738,0.866249,0.87541175,0.0666666666666666,0.7085441559666666
meta-llama/llama-3.3-70b-instruct,0.1,Q8,0.9141746,0.043110415,0.83100575,0.8710642,0.0,0.70823934775
meta-llama/llama-3.3-70b-instruct,1.0,Q3,0.903677,0.033429004,0.8537506,0.87024796,0.0,0.7079419694
meta-llama/llama-3.1-8b-instruct,0.5,Q6,0.90081716,0.024869602,0.87183726,0.87594754,0.0666666666666666,0.7077939743666667
meta-llama/llama-3.1-8b-instruct,0.5,Q9,0.90109515,0.026570415,0.85271406,0.8745247,0.0,0.7072143397499999
meta-llama/llama-3.2-1b-instruct,1.5,Q9,0.90148216,0.02660842,0.84742975,0.87487376,0.0,0.706383983
meta-llama/llama-3.2-1b-instruct,1.0,Q6,0.90018374,0.025425065,0.86668247,0.87475866,0.0666666666666666,0.7062996449166667
meta-llama/llama-3.2-1b-instruct,0.5,Q9,0.901889,0.034759387,0.8515527,0.8671296,0.0,0.70623003195
meta-llama/llama-3.3-70b-instruct,0.5,Q8,0.9104481,0.047274556,0.8337375,0.86317354,0.0,0.7059251766
meta-llama/llama-3.2-1b-instruct,1.0,Q3,0.91246796,0.041504737,0.82290125,0.8709632,0.0,0.70583531545
meta-llama/llama-3.1-8b-instruct,0.1,Q6,0.9093487,0.035886493,0.8561215,0.87346226,0.1333333333333333,0.7047838793833333
meta-llama/llama-3.2-1b-instruct,0.5,Q1,0.90076923,0.03416671,0.84696937,0.86660254,0.0,0.7047304055
meta-llama/llama-3.1-8b-instruct,1.0,Q3,0.9001373,0.031873185,0.844417,0.86826414,0.0,0.70418480225
meta-llama/llama-3.1-8b-instruct,0.1,Q8,0.9112749,0.05402328,0.8190533,0.85725164,0.0,0.7024721079999999
meta-llama/llama-3.2-1b-instruct,2.0,Q9,0.8944912,0.03193506,0.8459139,0.86255616,0.0,0.701087241
google/gemma-2-27b-it,1.0,Q8,0.89965034,0.032576483,0.8284583,0.86707383,0.0,0.7005953915500001
meta-llama/llama-3.3-70b-instruct,0.5,Q3,0.8980571,0.030947594,0.8235362,0.86710954,0.0,0.6988993609
meta-llama/llama-3.2-1b-instruct,0.1,Q5,0.90247494,0.03977236,0.8453502,0.8627026,0.1333333333333333,0.6979224833333332
meta-llama/llama-3.2-1b-instruct,0.1,Q9,0.90378296,0.030839039,0.8512043,0.87294394,0.2,0.6978847801500001
