model,temperature,qid,contradiction_rate
google/gemma-2-27b-it,0.1,Q1,0.0
google/gemma-2-27b-it,0.1,Q10,0.0
google/gemma-2-27b-it,0.1,Q11,0.0
google/gemma-2-27b-it,0.1,Q12,0.0
google/gemma-2-27b-it,0.1,Q13,0.0
google/gemma-2-27b-it,0.1,Q2,0.13333333333333333
google/gemma-2-27b-it,0.1,Q3,0.0
google/gemma-2-27b-it,0.1,Q4,0.0
google/gemma-2-27b-it,0.1,Q5,0.0
google/gemma-2-27b-it,0.1,Q6,0.0
google/gemma-2-27b-it,0.1,Q7,0.0
google/gemma-2-27b-it,0.1,Q8,0.0
google/gemma-2-27b-it,0.1,Q9,0.0
google/gemma-2-27b-it,0.5,Q1,0.0
google/gemma-2-27b-it,0.5,Q10,0.0
google/gemma-2-27b-it,0.5,Q11,0.2
google/gemma-2-27b-it,0.5,Q12,0.0
google/gemma-2-27b-it,0.5,Q13,0.0
google/gemma-2-27b-it,0.5,Q2,0.0
google/gemma-2-27b-it,0.5,Q3,0.0
google/gemma-2-27b-it,0.5,Q4,0.0
google/gemma-2-27b-it,0.5,Q5,0.0
google/gemma-2-27b-it,0.5,Q6,0.13333333333333333
google/gemma-2-27b-it,0.5,Q7,0.0
google/gemma-2-27b-it,0.5,Q8,0.0
google/gemma-2-27b-it,0.5,Q9,0.0
google/gemma-2-27b-it,1.0,Q1,0.06666666666666667
google/gemma-2-27b-it,1.0,Q10,0.0
google/gemma-2-27b-it,1.0,Q11,0.0
google/gemma-2-27b-it,1.0,Q12,0.0
google/gemma-2-27b-it,1.0,Q13,0.0
google/gemma-2-27b-it,1.0,Q2,0.0
google/gemma-2-27b-it,1.0,Q3,0.0
google/gemma-2-27b-it,1.0,Q4,0.0
google/gemma-2-27b-it,1.0,Q5,0.0
google/gemma-2-27b-it,1.0,Q6,0.26666666666666666
google/gemma-2-27b-it,1.0,Q7,0.0
google/gemma-2-27b-it,1.0,Q8,0.0
google/gemma-2-27b-it,1.0,Q9,0.0
google/gemma-2-27b-it,1.5,Q1,0.13333333333333333
google/gemma-2-27b-it,1.5,Q10,0.13333333333333333
google/gemma-2-27b-it,1.5,Q11,0.0
google/gemma-2-27b-it,1.5,Q12,0.26666666666666666
google/gemma-2-27b-it,1.5,Q13,0.26666666666666666
google/gemma-2-27b-it,1.5,Q2,0.13333333333333333
google/gemma-2-27b-it,1.5,Q3,0.13333333333333333
google/gemma-2-27b-it,1.5,Q4,0.26666666666666666
google/gemma-2-27b-it,1.5,Q5,0.0
google/gemma-2-27b-it,1.5,Q6,0.0
google/gemma-2-27b-it,1.5,Q7,0.26666666666666666
google/gemma-2-27b-it,1.5,Q8,0.13333333333333333
google/gemma-2-27b-it,1.5,Q9,0.0
google/gemma-2-27b-it,2.0,Q1,0.0
google/gemma-2-27b-it,2.0,Q10,0.0
google/gemma-2-27b-it,2.0,Q11,0.0
google/gemma-2-27b-it,2.0,Q12,0.0
google/gemma-2-27b-it,2.0,Q13,0.3333333333333333
google/gemma-2-27b-it,2.0,Q2,0.06666666666666667
google/gemma-2-27b-it,2.0,Q3,0.13333333333333333
google/gemma-2-27b-it,2.0,Q4,0.0
google/gemma-2-27b-it,2.0,Q5,0.13333333333333333
google/gemma-2-27b-it,2.0,Q6,0.0
google/gemma-2-27b-it,2.0,Q7,0.0
google/gemma-2-27b-it,2.0,Q8,0.0
google/gemma-2-27b-it,2.0,Q9,0.06666666666666667
meta-llama/llama-3.1-8b-instruct,0.1,Q1,0.0
meta-llama/llama-3.1-8b-instruct,0.1,Q10,0.0
meta-llama/llama-3.1-8b-instruct,0.1,Q11,0.0
meta-llama/llama-3.1-8b-instruct,0.1,Q12,0.06666666666666667
meta-llama/llama-3.1-8b-instruct,0.1,Q13,0.06666666666666667
meta-llama/llama-3.1-8b-instruct,0.1,Q2,0.0
meta-llama/llama-3.1-8b-instruct,0.1,Q3,0.0
meta-llama/llama-3.1-8b-instruct,0.1,Q4,0.0
meta-llama/llama-3.1-8b-instruct,0.1,Q5,0.0
meta-llama/llama-3.1-8b-instruct,0.1,Q6,0.13333333333333333
meta-llama/llama-3.1-8b-instruct,0.1,Q7,0.0
meta-llama/llama-3.1-8b-instruct,0.1,Q8,0.0
meta-llama/llama-3.1-8b-instruct,0.1,Q9,0.0
meta-llama/llama-3.1-8b-instruct,0.5,Q1,0.0
meta-llama/llama-3.1-8b-instruct,0.5,Q10,0.0
meta-llama/llama-3.1-8b-instruct,0.5,Q11,0.0
meta-llama/llama-3.1-8b-instruct,0.5,Q12,0.0
meta-llama/llama-3.1-8b-instruct,0.5,Q13,0.0
meta-llama/llama-3.1-8b-instruct,0.5,Q2,0.0
meta-llama/llama-3.1-8b-instruct,0.5,Q3,0.06666666666666667
meta-llama/llama-3.1-8b-instruct,0.5,Q4,0.0
meta-llama/llama-3.1-8b-instruct,0.5,Q5,0.0
meta-llama/llama-3.1-8b-instruct,0.5,Q6,0.06666666666666667
meta-llama/llama-3.1-8b-instruct,0.5,Q7,0.06666666666666667
meta-llama/llama-3.1-8b-instruct,0.5,Q8,0.0
meta-llama/llama-3.1-8b-instruct,0.5,Q9,0.0
meta-llama/llama-3.1-8b-instruct,1.0,Q1,0.0
meta-llama/llama-3.1-8b-instruct,1.0,Q10,0.13333333333333333
meta-llama/llama-3.1-8b-instruct,1.0,Q11,0.0
meta-llama/llama-3.1-8b-instruct,1.0,Q12,0.06666666666666667
meta-llama/llama-3.1-8b-instruct,1.0,Q13,0.26666666666666666
meta-llama/llama-3.1-8b-instruct,1.0,Q2,0.0
meta-llama/llama-3.1-8b-instruct,1.0,Q3,0.0
meta-llama/llama-3.1-8b-instruct,1.0,Q4,0.0
meta-llama/llama-3.1-8b-instruct,1.0,Q5,0.0
meta-llama/llama-3.1-8b-instruct,1.0,Q6,0.0
meta-llama/llama-3.1-8b-instruct,1.0,Q7,0.0
meta-llama/llama-3.1-8b-instruct,1.0,Q8,0.0
meta-llama/llama-3.1-8b-instruct,1.0,Q9,0.0
